Name,Category,CategoryID,GO,Description,PARENT_GO,LogP,Enrichment,Z-score,#TotalGeneInLibrary,#GeneInGO,#GeneInHitList,#GeneInGOAndHitList,%InGO,STDV %InGO,GeneID,Hits,Log(q-value)
MyList,GO Biological Processes,19,GO:0009144,purine nucleoside triphosphate metabolic process,19_GO:0008152 metabolic process,-8.2,7.5,9,30293,189,299,14,4.7,1.2,515|522|1353|2821|3939|4700|4706|4714|4725|4830|6391|7167|9551|10476,ATP5PB|ATP5PF|COX11|GPI|LDHA|NDUFA6|NDUFAB1|NDUFB8|NDUFS5|NME1|SDHC|TPI1|ATP5MF|ATP5PD,-5.8
MyList,GO Biological Processes,19,GO:0046034,ATP metabolic process,19_GO:0008152 metabolic process,-8.1,8.3,9.2,30293,159,299,13,4.3,1.2,515|522|1353|2821|3939|4700|4706|4714|4725|6391|7167|9551|10476,ATP5PB|ATP5PF|COX11|GPI|LDHA|NDUFA6|NDUFAB1|NDUFB8|NDUFS5|SDHC|TPI1|ATP5MF|ATP5PD,-5.8
MyList,GO Biological Processes,19,GO:0009199,ribonucleoside triphosphate metabolic process,19_GO:0008152 metabolic process,-8.1,7.5,8.9,30293,190,299,14,4.7,1.2,515|522|1353|2821|3939|4700|4706|4714|4725|4830|6391|7167|9551|10476,ATP5PB|ATP5PF|COX11|GPI|LDHA|NDUFA6|NDUFAB1|NDUFB8|NDUFS5|NME1|SDHC|TPI1|ATP5MF|ATP5PD,-5.8
MyList,GO Biological Processes,19,GO:0009152,purine ribonucleotide biosynthetic process,19_GO:0008152 metabolic process,-8.1,7.4,8.9,30293,191,299,14,4.7,1.2,515|522|1353|2977|3251|4700|4706|4714|4725|4830|5162|6391|9551|10476,ATP5PB|ATP5PF|COX11|GUCY1A2|HPRT1|NDUFA6|NDUFAB1|NDUFB8|NDUFS5|NME1|PDHB|SDHC|ATP5MF|ATP5PD,-5.8
MyList,GO Biological Processes,19,GO:0033365,protein localization to organelle,19_GO:0051179 localization,-8.1,3.7,7.4,30293,746,299,27,9,1.7,819|1386|3320|3786|3838|4591|5824|6734|6789|9512|10059|22919|25782|26519|29887|51560|54332|54557|55187|55737|57154|79589|81832|128866|131118|131474|401505,CAMLG|ATF2|HSP90AA1|KCNQ3|KPNA2|TRIM37|PEX19|SRPRA|STK4|PMPCB|DNM1L|MAPRE1|RAB3GAP2|TIMM10|SNX10|RAB6B|GDAP1|SGTB|VPS13D|VPS35|SMURF1|RNF128|NETO1|CHMP4B|DNAJC19|CHCHD4|TOMM5,-5.8
MyList,GO Biological Processes,19,GO:0045333,cellular respiration,19_GO:0008152 metabolic process,-8,7.3,8.8,30293,195,299,14,4.7,1.2,50|515|522|1327|4700|4706|4714|4725|5162|6391|7386|9551|10476|388753,ACO2|ATP5PB|ATP5PF|COX4I1|NDUFA6|NDUFAB1|NDUFB8|NDUFS5|PDHB|SDHC|UQCRFS1|ATP5MF|ATP5PD|COA6,-5.7
MyList,GO Biological Processes,19,GO:0006754,ATP biosynthetic process,19_GO:0008152 metabolic process,-8,12,10,30293,84,299,10,3.3,1,515|522|1353|4700|4706|4714|4725|6391|9551|10476,ATP5PB|ATP5PF|COX11|NDUFA6|NDUFAB1|NDUFB8|NDUFS5|SDHC|ATP5MF|ATP5PD,-5.7
MyList,GO Biological Processes,19,GO:0009142,nucleoside triphosphate biosynthetic process,19_GO:0008152 metabolic process,-7.9,10,9.6,30293,109,299,11,3.7,1.1,515|522|1353|4700|4706|4714|4725|4830|6391|9551|10476,ATP5PB|ATP5PF|COX11|NDUFA6|NDUFAB1|NDUFB8|NDUFS5|NME1|SDHC|ATP5MF|ATP5PD,-5.7
MyList,GO Biological Processes,19,GO:0006886,intracellular protein transport,19_GO:0051179 localization,-7.9,4.3,7.6,30293,519,299,22,7.4,1.5,1175|1386|1740|3320|3786|3838|4591|4905|5824|6789|7846|10947|25782|26519|29887|51560|55737|57154|63908|81832|131118|401505,AP2S1|ATF2|DLG2|HSP90AA1|KCNQ3|KPNA2|TRIM37|NSF|PEX19|STK4|TUBA1A|AP3M2|RAB3GAP2|TIMM10|SNX10|RAB6B|VPS35|SMURF1|NAPB|NETO1|DNAJC19|TOMM5,-5.6
MyList,GO Biological Processes,19,GO:0042776,proton motive force-driven mitochondrial ATP synthesis,19_GO:0008152 metabolic process,-7.9,14,11,30293,64,299,9,3,0.99,515|522|4700|4706|4714|4725|6391|9551|10476,ATP5PB|ATP5PF|NDUFA6|NDUFAB1|NDUFB8|NDUFS5|SDHC|ATP5MF|ATP5PD,-5.6
MyList,GO Biological Processes,19,GO:0009141,nucleoside triphosphate metabolic process,19_GO:0008152 metabolic process,-7.7,6.9,8.5,30293,205,299,14,4.7,1.2,515|522|1353|2821|3939|4700|4706|4714|4725|4830|6391|7167|9551|10476,ATP5PB|ATP5PF|COX11|GPI|LDHA|NDUFA6|NDUFAB1|NDUFB8|NDUFS5|NME1|SDHC|TPI1|ATP5MF|ATP5PD,-5.5
MyList,GO Biological Processes,19,GO:0009259,ribonucleotide metabolic process,19_GO:0008152 metabolic process,-7.6,4.8,7.6,30293,402,299,19,6.4,1.4,515|522|1353|1740|2821|2977|3251|3939|4700|4706|4714|4725|4830|5162|6391|7167|9551|10476|139596,ATP5PB|ATP5PF|COX11|DLG2|GPI|GUCY1A2|HPRT1|LDHA|NDUFA6|NDUFAB1|NDUFB8|NDUFS5|NME1|PDHB|SDHC|TPI1|ATP5MF|ATP5PD|UPRT,-5.4
