Gene,TotalEvidenceCounts,EvidenceHit:MyList,EvidenceGO:MyList,EvidencePPI:MyList
8862,3.0,1,1,1
9780,3.0,1,1,1
2054,3.0,1,1,1
2535,3.0,1,1,1
56829,3.0,1,1,1
94121,3.0,1,1,1
10616,3.0,1,1,1
3418,3.0,1,1,1
1593,3.0,1,1,1
8934,3.0,1,1,1
4329,3.0,1,1,1
56999,3.0,1,1,1
23189,3.0,1,1,1
4868,3.0,1,1,1
25855,3.0,1,1,1
142,3.0,1,1,1
596,3.0,1,1,1
59342,3.0,1,1,1
5663,3.0,1,1,1
55273,3.0,1,1,1
23205,3.0,1,1,1
27230,3.0,1,1,1
29082,3.0,1,1,1
430,3.0,1,1,1
1793,3.0,1,1,1
2534,3.0,1,1,1
1718,3.0,1,1,1
3488,3.0,1,1,1
1230,3.0,1,1,1
2937,3.0,1,1,1
7430,3.0,1,1,1
1191,3.0,1,1,1
146433,3.0,1,1,1
6658,3.0,1,1,1
952,3.0,1,1,1
23673,3.0,1,1,1
975,3.0,1,1,1
4860,3.0,1,1,1
2697,3.0,1,1,1
23705,3.0,1,1,1
2628,3.0,1,1,1
84696,3.0,1,1,1
9246,3.0,1,1,1
3691,3.0,1,1,1
3696,3.0,1,1,1
2922,3.0,1,1,1
6263,3.0,1,1,1
54,3.0,1,1,1
5716,3.0,1,1,1
349565,3.0,1,1,1
1464,3.0,1,1,1
3955,3.0,1,1,1
493,3.0,1,1,1
3766,3.0,1,1,1
129642,3.0,1,1,1
440503,3.0,1,1,1
3598,3.0,1,1,1
199,3.0,1,1,1
51100,3.0,1,1,1
3693,3.0,1,1,1
1463,3.0,1,1,1
2771,3.0,1,1,1
57381,3.0,1,1,1
4501,3.0,1,1,1
6640,3.0,1,1,1
256987,3.0,1,1,1
3784,3.0,1,1,1
51573,3.0,1,1,1
83733,3.0,1,1,1
28984,3.0,1,1,1
84706,3.0,1,1,1
120,3.0,1,1,1
26275,3.0,1,1,1
55937,3.0,1,1,1
2053,3.0,1,1,1
26353,3.0,1,1,1
3157,3.0,1,1,1
