Network,Annotation
MyList,GO:0044283|small molecule biosynthetic process|-15.2;GO:0016126|sterol biosynthetic process|-14.1;GO:0006066|alcohol metabolic process|-13.3
MyList_MCODE_ALL,GO:0071805|potassium ion transmembrane transport|-6.8;GO:0006813|potassium ion transport|-6.7;GO:0098662|inorganic cation transmembrane transport|-5.1
MyList_SUB2_MCODE_1,GO:0071805|potassium ion transmembrane transport|-6.8;GO:0006813|potassium ion transport|-6.7;GO:0098662|inorganic cation transmembrane transport|-5.1
