Name,Category,CategoryID,GO,Description,PARENT_GO,LogP,Enrichment,Z-score,#TotalGeneInLibrary,#GeneInGO,#GeneInHitList,#GeneInGOAndHitList,%InGO,STDV %InGO,GeneID,Hits,Log(q-value)
MyList,GO Biological Processes,19,GO:0016054,organic acid catabolic process,19_GO:0008152 metabolic process,-12,4.4,9.3,30293,232,953,32,3.4,0.58,30|33|594|1757|1891|2109|2110|2184|2639|2746|2747|2752|3028|3067|3155|3176|3712|4329|7263|8309|10247|10449|10455|23576|26275|51084|55577|55862|56898|84706|137872|197257,ACAA1|ACADL|BCKDHB|SARDH|ECH1|ETFB|ETFDH|FAH|GCDH|GLUD1|GLUD2|GLUL|HSD17B10|HDC|HMGCL|HNMT|IVD|ALDH6A1|TST|ACOX2|RIDA|ACAA2|ECI2|DDAH1|HIBCH|CRYL1|NAGK|ECHDC1|BDH2|GPT2|ADHFE1|LDHD,-8.5
MyList,GO Biological Processes,19,GO:0046395,carboxylic acid catabolic process,19_GO:0008152 metabolic process,-12,4.4,9.3,30293,232,953,32,3.4,0.58,30|33|594|1757|1891|2109|2110|2184|2639|2746|2747|2752|3028|3067|3155|3176|3712|4329|7263|8309|10247|10449|10455|23576|26275|51084|55577|55862|56898|84706|137872|197257,ACAA1|ACADL|BCKDHB|SARDH|ECH1|ETFB|ETFDH|FAH|GCDH|GLUD1|GLUD2|GLUL|HSD17B10|HDC|HMGCL|HNMT|IVD|ALDH6A1|TST|ACOX2|RIDA|ACAA2|ECI2|DDAH1|HIBCH|CRYL1|NAGK|ECHDC1|BDH2|GPT2|ADHFE1|LDHD,-8.5
MyList,GO Biological Processes,19,GO:0030029,actin filament-based process,19_GO:0009987 cellular process,-11,2.9,8.4,30293,612,953,55,5.8,0.76,70|71|199|358|408|613|1266|1809|1901|2059|2195|2697|3741|3784|3936|4082|4542|4604|4637|4646|4983|5154|5156|5358|5872|5987|6335|6444|6464|7114|7184|7430|8736|9051|9168|9535|9938|10160|11170|11188|22808|23043|23189|27295|28988|29085|30011|54857|57381|81624|84062|85477|89846|116154|121512,ACTC1|ACTG1|AIF1|AQP1|ARRB1|BCR|CNN3|DPYSL3|S1PR1|EPS8|FAT1|GJA1|KCNA5|KCNQ1|LCP1|MARCKS|MYO1F|MYBPC1|MYL6|MYO6|OPHN1|PDGFA|PDGFRA|PLS3|RAB13|TRIM27|SCN9A|SGCD|SHC1|TMSB4X|HSP90B1|EZR|MYOM1|PSTPIP1|TMSB10|GMFG|ARHGAP25|FARP1|FAM107A|NISCH|MRAS|TNIK|KANK1|PDLIM3|DBNL|PHPT1|SH3KBP1|GDPD2|RHOJ|DIAPH3|DTNBP1|SCIN|FGD3|PHACTR3|FGD4,-8.3
MyList,GO Biological Processes,19,GO:0032787,monocarboxylic acid metabolic process,19_GO:0008152 metabolic process,-11,3,8.3,30293,516,953,49,5.1,0.72,30|33|240|718|1109|1573|1622|1645|1891|2023|2052|2109|2110|2184|2628|2639|2950|3028|3141|3418|3712|3992|3995|4199|5947|6307|8309|8644|9200|9415|10170|10449|10455|23205|26227|28965|51084|55862|56898|59342|63826|79966|80221|80339|81888|84532|92126|113189|197257,ACAA1|ACADL|ALOX5|C3|AKR1C4|CYP2J2|DBI|AKR1C1|ECH1|ENO1|EPHX1|ETFB|ETFDH|FAH|GATM|GCDH|GSTP1|HSD17B10|HLCS|IDH2|IVD|FADS1|FADS3|ME1|RBP1|MSMO1|ACOX2|AKR1C3|HACD1|FADS2|DHRS9|ACAA2|ECI2|ACSBG1|PHGDH|SLC27A6|CRYL1|ECHDC1|BDH2|SCPEP1|SRR|SCD5|ACSF2|PNPLA3|HYI|ACSS1|DSEL|CHST14|LDHD,-8
MyList,GO Biological Processes,19,GO:1902652,secondary alcohol metabolic process,19_GO:0008152 metabolic process,-11,5.7,9.6,30293,129,953,23,2.4,0.5,348|1050|1595|1717|1718|3157|3418|3422|3638|3949|4047|4598|6307|6309|6609|6720|7108|7436|9023|10449|10577|50814|51478,APOE|CEBPA|CYP51A1|DHCR7|DHCR24|HMGCS1|IDH2|IDI1|INSIG1|LDLR|LSS|MVK|MSMO1|SC5D|SMPD1|SREBF1|TM7SF2|VLDLR|CH25H|ACAA2|NPC2|NSDHL|HSD17B7,-7.8
MyList,GO Biological Processes,19,GO:0045321,leukocyte activation,19_GO:0002376 immune system process,-11,2.8,8.1,30293,598,953,53,5.6,0.74,136|199|613|677|678|712|865|923|952|975|1137|1191|1316|1524|2214|2697|3175|3689|3821|3936|4067|4495|5052|5245|5293|5580|5588|5788|6284|6404|6814|7098|7099|7248|7409|7462|8451|8934|8935|9308|9734|10758|25800|54361|54518|55509|55636|57705|84868|90865|112616|221395|284021,ADORA2B|AIF1|BCR|ZFP36L1|ZFP36L2|C1QA|CBFB|CD6|CD38|CD81|CHRNA4|CLU|KLF6|CX3CR1|FCGR3A|GJA1|ONECUT1|ITGB2|KLRC1|LCP1|LYN|MT1G|PRDX1|PHB1|PIK3CD|PRKCD|PRKCQ|PTPRC|S100A13|SELPLG|STXBP3|TLR3|TLR4|TSC1|VAV1|LAT2|CUL4A|RAB29|SKAP2|CD83|HDAC9|TRAF3IP2|SLC39A6|WNT4|APBB1IP|BATF3|CHD7|WDFY4|HAVCR2|IL33|CMTM7|ADGRF5|MILR1,-7.8
MyList,GO Biological Processes,19,GO:0008203,cholesterol metabolic process,19_GO:0008152 metabolic process,-11,5.9,9.7,30293,118,953,22,2.3,0.49,348|1050|1595|1717|1718|3157|3422|3638|3949|4047|4598|6307|6309|6609|6720|7108|7436|9023|10449|10577|50814|51478,APOE|CEBPA|CYP51A1|DHCR7|DHCR24|HMGCS1|IDI1|INSIG1|LDLR|LSS|MVK|MSMO1|SC5D|SMPD1|SREBF1|TM7SF2|VLDLR|CH25H|ACAA2|NPC2|NSDHL|HSD17B7,-7.8
MyList,GO Biological Processes,19,GO:0051046,regulation of secretion,19_GO:0051179 localization,-11,2.8,8,30293,621,953,54,5.7,0.75,136|240|348|358|613|952|1137|1595|2550|2697|2746|2771|3689|3741|3784|3822|4067|4129|4646|4988|5021|5028|5872|5874|5950|6422|6623|6664|6720|6810|6814|7099|8111|8447|8673|8736|8792|8938|9501|10972|27236|27345|29091|51083|51092|51760|55636|64215|79651|79971|84062|85477|94121|115827,ADORA2B|ALOX5|APOE|AQP1|BCR|CD38|CHRNA4|CYP51A1|GABBR1|GJA1|GLUD1|GNAI2|ITGB2|KCNA5|KCNQ1|KLRC2|LYN|MAOB|MYO6|OPRM1|OXTR|P2RY1|RAB13|RAB27B|RBP4|SFRP1|SNCG|SOX11|SREBF1|STX4|STXBP3|TLR4|GPR68|DOC2B|VAMP8|MYOM1|TNFRSF11A|BAIAP3|RPH3AL|TMED10|ARFIP1|KCNMB4|STXBP6|GAL|SIDT2|SYT17|CHD7|DNAJC1|RHBDF2|WLS|DTNBP1|SCIN|SYTL4|RAB3C,-7.7
MyList,GO Biological Processes,19,GO:0016125,sterol metabolic process,19_GO:0008152 metabolic process,-11,5.5,9.4,30293,132,953,23,2.4,0.5,348|1050|1595|1717|1718|3157|3422|3638|3949|4047|4598|6307|6309|6609|6720|7108|7436|9023|10449|10577|50814|51478|51706,APOE|CEBPA|CYP51A1|DHCR7|DHCR24|HMGCS1|IDI1|INSIG1|LDLR|LSS|MVK|MSMO1|SC5D|SMPD1|SREBF1|TM7SF2|VLDLR|CH25H|ACAA2|NPC2|NSDHL|HSD17B7|CYB5R1,-7.7
MyList,GO Biological Processes,19,GO:0001775,cell activation,19_GO:0032501 multicellular organismal process,-11,2.6,7.8,30293,722,953,59,6.2,0.78,71|136|199|613|677|678|712|865|923|952|975|1137|1191|1316|1524|2214|2697|3175|3689|3821|3936|4067|4495|5028|5052|5154|5156|5245|5293|5580|5588|5788|6284|6404|6814|7098|7099|7248|7409|7462|8451|8934|8935|9308|9734|10758|23657|25800|29071|54361|54518|55509|55636|57705|84868|90865|112616|221395|284021,ACTG1|ADORA2B|AIF1|BCR|ZFP36L1|ZFP36L2|C1QA|CBFB|CD6|CD38|CD81|CHRNA4|CLU|KLF6|CX3CR1|FCGR3A|GJA1|ONECUT1|ITGB2|KLRC1|LCP1|LYN|MT1G|P2RY1|PRDX1|PDGFA|PDGFRA|PHB1|PIK3CD|PRKCD|PRKCQ|PTPRC|S100A13|SELPLG|STXBP3|TLR3|TLR4|TSC1|VAV1|LAT2|CUL4A|RAB29|SKAP2|CD83|HDAC9|TRAF3IP2|SLC7A11|SLC39A6|C1GALT1C1|WNT4|APBB1IP|BATF3|CHD7|WDFY4|HAVCR2|IL33|CMTM7|ADGRF5|MILR1,-7.6
