Name,Category,CategoryID,GO,Description,PARENT_GO,LogP,Enrichment,Z-score,#TotalGeneInLibrary,#GeneInGO,#GeneInHitList,#GeneInGOAndHitList,%InGO,STDV %InGO,GeneID,Hits,Log(q-value)
MyList,GO Biological Processes,19,GO:0006281,DNA repair,19_GO:0050896 response to stimulus,-7.4,4.2,7.3,30293,508,298,21,7,1.5,1763|2178|4595|5111|5932|8940|9656|11198|22976|23126|51111|51720|54799|55031|56916|56946|79447|79661|80314|80820|84444,DNA2|FANCE|MUTYH|PCNA|RBBP8|TOP3B|MDC1|SUPT16H|PAXIP1|POGZ|KMT5B|UIMC1|MBTD1|USP47|SMARCAD1|EMSY|PAGR1|NEIL1|EPC1|EEPD1|DOT1L,-4.6
MyList,GO Biological Processes,19,GO:1901987,regulation of cell cycle phase transition,19_GO:0050789 regulation of biological process,-5.5,3.8,6,30293,456,298,17,5.7,1.3,1763|2146|5311|5932|9656|22976|26272|29945|29980|51720|55031|55367|55835|79447|84444|126520|196528,DNA2|EZH2|PKD2|RBBP8|MDC1|PAXIP1|FBXO4|ANAPC4|DONSON|UIMC1|USP47|PIDD1|CENPJ|PAGR1|DOT1L|PLK5|ARID2,-2.9
MyList,GO Biological Processes,19,GO:0051052,regulation of DNA metabolic process,19_GO:0008152 metabolic process,-5.3,3.5,5.7,30293,524,298,18,6,1.4,1763|3005|4931|5111|11232|22976|25849|26272|51111|51720|54464|54799|56776|56916|80314|114799|196528|201163,DNA2|H1-0|NVL|PCNA|POLG2|PAXIP1|PARM1|FBXO4|KMT5B|UIMC1|XRN1|MBTD1|FMN2|SMARCAD1|EPC1|ESCO1|ARID2|FLCN,-2.7
MyList,GO Biological Processes,19,GO:0010564,regulation of cell cycle process,19_GO:0050789 regulation of biological process,-5.2,3,5.5,30293,747,298,22,7.4,1.5,1763|2146|3643|5311|5932|7840|9656|22976|26272|29945|29980|51720|55031|55367|55835|57018|79447|79648|84444|126520|196528|201163,DNA2|EZH2|INSR|PKD2|RBBP8|ALMS1|MDC1|PAXIP1|FBXO4|ANAPC4|DONSON|UIMC1|USP47|PIDD1|CENPJ|CCNL1|PAGR1|MCPH1|DOT1L|PLK5|ARID2|FLCN,-2.7
MyList,GO Biological Processes,19,GO:0051054,positive regulation of DNA metabolic process,19_GO:0048518 positive regulation of biological process,-5.1,4.4,6,30293,297,298,13,4.4,1.2,1763|4931|5111|11232|22976|25849|26272|51111|51720|54799|56776|80314|196528,DNA2|NVL|PCNA|POLG2|PAXIP1|PARM1|FBXO4|KMT5B|UIMC1|MBTD1|FMN2|EPC1|ARID2,-2.5
MyList,GO Biological Processes,19,GO:0009725,response to hormone,19_GO:0050896 response to stimulus,-4.9,2.9,5.3,30293,780,298,22,7.4,1.5,836|1513|1655|1909|2200|2796|3416|3643|3717|5111|5272|5771|5829|6774|7181|7352|9325|9353|9572|54832|64170|84109,CASP3|CTSK|DDX5|EDNRA|FBN1|GNRH1|IDE|INSR|JAK2|PCNA|SERPINB9|PTPN2|PXN|STAT3|NR2C1|UCP3|TRIP4|SLIT2|NR1D1|VPS13C|CARD9|QRFPR,-2.5
MyList,GO Biological Processes,19,GO:0007507,heart development,19_GO:0032502 developmental process,-4.8,3.2,5.3,30293,569,298,18,6,1.4,836|1289|1832|1856|1909|2200|3643|4205|4703|5111|5311|9353|10427|54806|54880|64091|79659|196528,CASP3|COL5A1|DSP|DVL2|EDNRA|FBN1|INSR|MEF2A|NEB|PCNA|PKD2|SLIT2|SEC24B|AHI1|BCOR|POPDC2|DYNC2H1|ARID2,-2.3
MyList,GO Biological Processes,19,GO:0001667,ameboidal-type cell migration,19_GO:0009987 cellular process,-4.6,5.2,5.9,30293,196,298,10,3.4,1,1909|4017|5829|9353|11167|22976|54437|55698|57669|84159,EDNRA|LOXL2|PXN|SLIT2|FSTL1|PAXIP1|SEMA5B|RADIL|EPB41L5|ARID5B,-2.1
MyList,GO Biological Processes,19,GO:0080135,regulation of cellular response to stress,19_GO:0050896 response to stimulus,-4.5,2.9,5,30293,661,298,19,6.4,1.4,1655|1856|2023|4215|5111|5771|8975|26272|51111|51136|51720|54799|54832|55031|56776|64170|80314|83999|196528,DDX5|DVL2|ENO1|MAP3K3|PCNA|PTPN2|USP13|FBXO4|KMT5B|RNFT1|UIMC1|MBTD1|VPS13C|USP47|FMN2|CARD9|EPC1|KREMEN1|ARID2,-2
MyList,GO Biological Processes,19,GO:0032870,cellular response to hormone stimulus,19_GO:0050896 response to stimulus,-4.4,3.2,5.1,30293,501,298,16,5.4,1.3,1655|1909|2200|3416|3643|3717|5272|5771|5829|6774|7181|7352|9325|9353|9572|84109,DDX5|EDNRA|FBN1|IDE|INSR|JAK2|SERPINB9|PTPN2|PXN|STAT3|NR2C1|UCP3|TRIP4|SLIT2|NR1D1|QRFPR,-2
