Category,CategoryID,GO,Description,PARENT_GO,LogP,Enrichment,Z-score,#TotalGeneInLibrary,#GeneInGO,#GeneInHitList,#GeneInGOAndHitList,%InGO,STDV %InGO,GeneID,Hits,Log(q-value),GeneList
GO Biological Processes,19,GO:0016054,organic acid catabolic process,19_GO:0008152 metabolic process,-10,3.8,8.4,30293,232,1140,33,2.9,0.5,30|33|594|1757|1891|2109|2110|2184|2639|2746|2747|2752|3028|3067|3155|3176|3712|4329|7263|8309|10247|10449|10455|23576|26275|51084|55556|55577|55862|56898|84706|137872|197257,ACAA1|ACADL|BCKDHB|SARDH|ECH1|ETFB|ETFDH|FAH|GCDH|GLUD1|GLUD2|GLUL|HSD17B10|HDC|HMGCL|HNMT|IVD|ALDH6A1|TST|ACOX2|RIDA|ACAA2|ECI2|DDAH1|HIBCH|CRYL1|ENOSF1|NAGK|ECHDC1|BDH2|GPT2|ADHFE1|LDHD,-7.1,MyList
GO Biological Processes,19,GO:0016125,sterol metabolic process,19_GO:0008152 metabolic process,-9.8,4.8,8.7,30293,132,1140,24,2.1,0.43,348|1050|1595|1717|1718|3157|3422|3638|3949|4047|4598|6307|6309|6609|6720|7108|7436|9023|10449|10577|50814|51478|51706|84650,APOE|CEBPA|CYP51A1|DHCR7|DHCR24|HMGCS1|IDI1|INSIG1|LDLR|LSS|MVK|MSMO1|SC5D|SMPD1|SREBF1|TM7SF2|VLDLR|CH25H|ACAA2|NPC2|NSDHL|HSD17B7|CYB5R1|EBPL,-6.7,MyList
GO Biological Processes,19,GO:0008610,lipid biosynthetic process,19_GO:0008152 metabolic process,-9.4,2.5,7.3,30293,594,1140,56,4.9,0.64,240|1109|1595|1717|1718|2171|2639|2681|2950|3028|3155|3157|3422|3638|3992|3995|4047|4598|5293|5947|6307|6309|6576|6609|6720|7108|8309|8613|8630|8644|8897|8912|9023|9200|9415|10170|10449|10715|11145|22845|23205|23683|50814|51478|51706|54947|57153|57171|79966|80339|84002|84532|129642|171546|221395|253558,ALOX5|AKR1C4|CYP51A1|DHCR7|DHCR24|FABP5|GCDH|GGTA1|GSTP1|HSD17B10|HMGCL|HMGCS1|IDI1|INSIG1|FADS1|FADS3|LSS|MVK|PIK3CD|RBP1|MSMO1|SC5D|SLC25A1|SMPD1|SREBF1|TM7SF2|ACOX2|PLPP3|HSD17B6|AKR1C3|MTMR3|CACNA1H|CH25H|HACD1|FADS2|DHRS9|ACAA2|CERS1|PLAAT3|DOLK|ACSBG1|PRKD3|NSDHL|HSD17B7|CYB5R1|LPCAT2|SLC44A2|DOLPP1|SCD5|PNPLA3|B3GNT5|ACSS1|MBOAT2|SPTSSA|ADGRF5|LCLAT1,-6.4,MyList
GO Biological Processes,19,GO:0009636,response to toxic substance,19_GO:0050896 response to stimulus,-9.4,3.6,7.9,30293,236,1140,32,2.8,0.49,348|445|670|2052|2053|2950|3047|4067|4129|4257|4489|4490|4493|4494|4495|4501|4502|4504|5002|5052|5445|6335|6415|7274|10549|10715|23657|26471|55937|64359|84293|114112,APOE|ASS1|BPHL|EPHX1|EPHX2|GSTP1|HBG1|LYN|MAOB|MGST1|MT1A|MT1B|MT1E|MT1F|MT1G|MT1X|MT2A|MT3|SLC22A18|PRDX1|PON2|SCN9A|SELENOW|TTPA|PRDX4|CERS1|SLC7A11|NUPR1|APOM|NXN|PRXL2A|TXNRD3,-6.4,MyList
GO Biological Processes,19,GO:0008203,cholesterol metabolic process,19_GO:0008152 metabolic process,-9.3,5,8.5,30293,118,1140,22,1.9,0.41,348|1050|1595|1717|1718|3157|3422|3638|3949|4047|4598|6307|6309|6609|6720|7108|7436|9023|10449|10577|50814|51478,APOE|CEBPA|CYP51A1|DHCR7|DHCR24|HMGCS1|IDI1|INSIG1|LDLR|LSS|MVK|MSMO1|SC5D|SMPD1|SREBF1|TM7SF2|VLDLR|CH25H|ACAA2|NPC2|NSDHL|HSD17B7,-6.3,MyList
GO Biological Processes,19,GO:1902652,secondary alcohol metabolic process,19_GO:0008152 metabolic process,-9.3,4.7,8.4,30293,129,1140,23,2,0.42,348|1050|1595|1717|1718|3157|3418|3422|3638|3949|4047|4598|6307|6309|6609|6720|7108|7436|9023|10449|10577|50814|51478,APOE|CEBPA|CYP51A1|DHCR7|DHCR24|HMGCS1|IDH2|IDI1|INSIG1|LDLR|LSS|MVK|MSMO1|SC5D|SMPD1|SREBF1|TM7SF2|VLDLR|CH25H|ACAA2|NPC2|NSDHL|HSD17B7,-6.3,MyList
GO Biological Processes,19,GO:0045321,leukocyte activation,19_GO:0002376 immune system process,-8.9,2.4,7.1,30293,598,1140,55,4.8,0.63,136|199|430|613|677|678|712|865|923|952|975|1137|1191|1316|1524|2214|2697|3175|3689|3821|3936|4067|4495|5052|5245|5293|5580|5588|5788|6284|6404|6814|7098|7099|7248|7409|7462|8451|8934|8935|9308|9734|10758|25800|54361|54518|55509|55636|57705|79626|84868|90865|112616|221395|284021,ADORA2B|AIF1|ASCL2|BCR|ZFP36L1|ZFP36L2|C1QA|CBFB|CD6|CD38|CD81|CHRNA4|CLU|KLF6|CX3CR1|FCGR3A|GJA1|ONECUT1|ITGB2|KLRC1|LCP1|LYN|MT1G|PRDX1|PHB1|PIK3CD|PRKCD|PRKCQ|PTPRC|S100A13|SELPLG|STXBP3|TLR3|TLR4|TSC1|VAV1|LAT2|CUL4A|RAB29|SKAP2|CD83|HDAC9|TRAF3IP2|SLC39A6|WNT4|APBB1IP|BATF3|CHD7|WDFY4|TNFAIP8L2|HAVCR2|IL33|CMTM7|ADGRF5|MILR1,-5.9,MyList
GO Biological Processes,19,GO:0006520,amino acid metabolic process,19_GO:0008152 metabolic process,-8.8,3.2,7.5,30293,290,1140,35,3.1,0.51,445|594|670|1757|2109|2184|2639|2746|2747|2752|2937|3028|3067|3155|3176|3712|4329|5033|5092|5831|6567|10247|10667|23395|23576|23743|26227|26275|51582|55256|55556|63826|65263|84706|137872,ASS1|BCKDHB|BPHL|SARDH|ETFB|FAH|GCDH|GLUD1|GLUD2|GLUL|GSS|HSD17B10|HDC|HMGCL|HNMT|IVD|ALDH6A1|P4HA1|PCBD1|PYCR1|SLC16A2|RIDA|FARS2|LARS2|DDAH1|BHMT2|PHGDH|HIBCH|AZIN1|ADI1|ENOSF1|SRR|PYCR3|GPT2|ADHFE1,-5.9,MyList
GO Biological Processes,19,GO:0051046,regulation of secretion,19_GO:0051179 localization,-8.7,2.4,7,30293,621,1140,56,4.9,0.64,136|240|348|358|613|952|1137|1595|2550|2697|2746|2771|3689|3741|3784|3822|4067|4129|4646|4988|5021|5028|5872|5874|5950|6422|6623|6664|6720|6810|6814|7099|8111|8447|8673|8736|8792|8938|9501|10972|27236|27345|29091|51083|51092|51760|55636|64215|79651|79971|84062|85477|94121|114899|115827|100507043,ADORA2B|ALOX5|APOE|AQP1|BCR|CD38|CHRNA4|CYP51A1|GABBR1|GJA1|GLUD1|GNAI2|ITGB2|KCNA5|KCNQ1|KLRC2|LYN|MAOB|MYO6|OPRM1|OXTR|P2RY1|RAB13|RAB27B|RBP4|SFRP1|SNCG|SOX11|SREBF1|STX4|STXBP3|TLR4|GPR68|DOC2B|VAMP8|MYOM1|TNFRSF11A|BAIAP3|RPH3AL|TMED10|ARFIP1|KCNMB4|STXBP6|GAL|SIDT2|SYT17|CHD7|DNAJC1|RHBDF2|WLS|DTNBP1|SCIN|SYTL4|C1QTNF3|RAB3C|TUNAR,-5.8,MyList
GO Biological Processes,19,GO:0030029,actin filament-based process,19_GO:0009987 cellular process,-8.5,2.4,6.9,30293,612,1140,55,4.8,0.63,70|71|199|358|408|613|1266|1809|1901|2059|2195|2697|3741|3784|3936|4082|4542|4604|4637|4646|4983|5154|5156|5358|5872|5987|6335|6444|6464|7114|7184|7430|8736|9051|9168|9535|9938|10160|11170|11188|22808|23043|23189|27295|28988|29085|30011|54857|57381|81624|84062|85477|89846|116154|121512,ACTC1|ACTG1|AIF1|AQP1|ARRB1|BCR|CNN3|DPYSL3|S1PR1|EPS8|FAT1|GJA1|KCNA5|KCNQ1|LCP1|MARCKS|MYO1F|MYBPC1|MYL6|MYO6|OPHN1|PDGFA|PDGFRA|PLS3|RAB13|TRIM27|SCN9A|SGCD|SHC1|TMSB4X|HSP90B1|EZR|MYOM1|PSTPIP1|TMSB10|GMFG|ARHGAP25|FARP1|FAM107A|NISCH|MRAS|TNIK|KANK1|PDLIM3|DBNL|PHPT1|SH3KBP1|GDPD2|RHOJ|DIAPH3|DTNBP1|SCIN|FGD3|PHACTR3|FGD4,-5.7,MyList
