Category,CategoryID,GO,Description,PARENT_GO,LogP,Enrichment,Z-score,#TotalGeneInLibrary,#GeneInGO,#GeneInHitList,#GeneInGOAndHitList,%InGO,STDV %InGO,GeneID,Hits,Log(q-value),GeneList
GO Biological Processes,19,GO:0072594,establishment of protein localization to organelle,19_GO:0051179 localization,-6.8,4.3,7,30293,348,389,19,4.9,1.1,1386|3320|3786|3838|4591|5824|6734|6789|9512|25782|26519|54332|54557|55187|57154|128866|131118|131474|401505,ATF2|HSP90AA1|KCNQ3|KPNA2|TRIM37|PEX19|SRPRA|STK4|PMPCB|RAB3GAP2|TIMM10|GDAP1|SGTB|VPS13D|SMURF1|CHMP4B|DNAJC19|CHCHD4|TOMM5,-3.9,MyList
GO Biological Processes,19,GO:0046034,ATP metabolic process,19_GO:0008152 metabolic process,-6.8,6.4,7.7,30293,159,389,13,3.3,0.91,515|522|1353|2821|3939|4700|4706|4714|4725|6391|7167|9551|10476,ATP5PB|ATP5PF|COX11|GPI|LDHA|NDUFA6|NDUFAB1|NDUFB8|NDUFS5|SDHC|TPI1|ATP5MF|ATP5PD,-3.9,MyList
GO Biological Processes,19,GO:0051640,organelle localization,19_GO:0051179 localization,-6.8,3.5,6.6,30293,539,389,24,6.2,1.2,1063|1780|3619|4131|5293|5664|6857|7320|7846|8927|9217|9342|10059|10947|22919|23025|29058|51566|81565|81620|81929|113130|115827|128866,CENPF|DYNC1I1|INCENP|MAP1B|PIK3CD|PSEN2|SYT1|UBE2B|TUBA1A|BSN|VAPB|SNAP29|DNM1L|AP3M2|MAPRE1|UNC13A|TMEM230|ARMCX3|NDEL1|CDT1|SEH1L|CDCA5|RAB3C|CHMP4B,-3.9,MyList
GO Biological Processes,19,GO:0009142,nucleoside triphosphate biosynthetic process,19_GO:0008152 metabolic process,-6.8,7.9,8.2,30293,109,389,11,2.8,0.84,515|522|1353|4700|4706|4714|4725|4830|6391|9551|10476,ATP5PB|ATP5PF|COX11|NDUFA6|NDUFAB1|NDUFB8|NDUFS5|NME1|SDHC|ATP5MF|ATP5PD,-3.9,MyList
GO Biological Processes,19,GO:0009144,purine nucleoside triphosphate metabolic process,19_GO:0008152 metabolic process,-6.7,5.8,7.5,30293,189,389,14,3.6,0.94,515|522|1353|2821|3939|4700|4706|4714|4725|4830|6391|7167|9551|10476,ATP5PB|ATP5PF|COX11|GPI|LDHA|NDUFA6|NDUFAB1|NDUFB8|NDUFS5|NME1|SDHC|TPI1|ATP5MF|ATP5PD,-3.9,MyList
GO Biological Processes,19,GO:0009199,ribonucleoside triphosphate metabolic process,19_GO:0008152 metabolic process,-6.7,5.7,7.5,30293,190,389,14,3.6,0.94,515|522|1353|2821|3939|4700|4706|4714|4725|4830|6391|7167|9551|10476,ATP5PB|ATP5PF|COX11|GPI|LDHA|NDUFA6|NDUFAB1|NDUFB8|NDUFS5|NME1|SDHC|TPI1|ATP5MF|ATP5PD,-3.9,MyList
GO Biological Processes,19,GO:0006605,protein targeting,19_GO:0051179 localization,-6.7,4.9,7.2,30293,252,389,16,4.1,1,3320|3786|5824|6734|7532|9512|26519|54332|54557|55187|57154|128866|131118|131474|282679|401505,HSP90AA1|KCNQ3|PEX19|SRPRA|YWHAG|PMPCB|TIMM10|GDAP1|SGTB|VPS13D|SMURF1|CHMP4B|DNAJC19|CHCHD4|AQP11|TOMM5,-3.9,MyList
GO Biological Processes,19,GO:0009152,purine ribonucleotide biosynthetic process,19_GO:0008152 metabolic process,-6.7,5.7,7.4,30293,191,389,14,3.6,0.94,515|522|1353|2977|3251|4700|4706|4714|4725|4830|5162|6391|9551|10476,ATP5PB|ATP5PF|COX11|GUCY1A2|HPRT1|NDUFA6|NDUFAB1|NDUFB8|NDUFS5|NME1|PDHB|SDHC|ATP5MF|ATP5PD,-3.9,MyList
GO Biological Processes,19,GO:0045333,cellular respiration,19_GO:0008152 metabolic process,-6.6,5.6,7.3,30293,195,389,14,3.6,0.94,50|515|522|1327|4700|4706|4714|4725|5162|6391|7386|9551|10476|388753,ACO2|ATP5PB|ATP5PF|COX4I1|NDUFA6|NDUFAB1|NDUFB8|NDUFS5|PDHB|SDHC|UQCRFS1|ATP5MF|ATP5PD|COA6,-3.8,MyList
GO Biological Processes,19,GO:0072657,protein localization to membrane,19_GO:0051179 localization,-6.6,3.6,6.6,30293,473,389,22,5.7,1.2,88|819|1740|3320|4905|5824|6734|9270|9312|25782|26519|51248|51560|54557|55737|57154|81832|115827|128866|145567|282679|401505,ACTN2|CAMLG|DLG2|HSP90AA1|NSF|PEX19|SRPRA|ITGB1BP1|KCNB2|RAB3GAP2|TIMM10|PDZD11|RAB6B|SGTB|VPS35|SMURF1|NETO1|RAB3C|CHMP4B|TTC7B|AQP11|TOMM5,-3.8,MyList
GO Biological Processes,19,GO:0022900,electron transport chain,19_GO:0008152 metabolic process,-6.5,6,7.4,30293,169,389,13,3.3,0.91,1109|1327|1353|1534|2936|4700|4706|4714|4725|6391|7386|112812|388753,AKR1C4|COX4I1|COX11|CYB561|GSR|NDUFA6|NDUFAB1|NDUFB8|NDUFS5|SDHC|UQCRFS1|FDX2|COA6,-3.7,MyList
GO Biological Processes,19,GO:0006886,intracellular protein transport,19_GO:0051179 localization,-6.5,3.5,6.4,30293,519,389,23,5.9,1.2,1175|1386|1740|3320|3786|3838|4591|4905|5824|5874|6789|7846|10947|25782|26519|29887|51560|55737|57154|63908|81832|131118|401505,AP2S1|ATF2|DLG2|HSP90AA1|KCNQ3|KPNA2|TRIM37|NSF|PEX19|RAB27B|STK4|TUBA1A|AP3M2|RAB3GAP2|TIMM10|SNX10|RAB6B|VPS35|SMURF1|NAPB|NETO1|DNAJC19|TOMM5,-3.7,MyList
GO Biological Processes,19,GO:0015986,proton motive force-driven ATP synthesis,19_GO:0008152 metabolic process,-6.4,9.6,8.4,30293,73,389,9,2.3,0.76,515|522|4700|4706|4714|4725|6391|9551|10476,ATP5PB|ATP5PF|NDUFA6|NDUFAB1|NDUFB8|NDUFS5|SDHC|ATP5MF|ATP5PD,-3.6,MyList
GO Biological Processes,19,GO:0009141,nucleoside triphosphate metabolic process,19_GO:0008152 metabolic process,-6.3,5.3,7.1,30293,205,389,14,3.6,0.94,515|522|1353|2821|3939|4700|4706|4714|4725|4830|6391|7167|9551|10476,ATP5PB|ATP5PF|COX11|GPI|LDHA|NDUFA6|NDUFAB1|NDUFB8|NDUFS5|NME1|SDHC|TPI1|ATP5MF|ATP5PD,-3.6,MyList
GO Biological Processes,19,GO:0009259,ribonucleotide metabolic process,19_GO:0008152 metabolic process,-5.9,3.7,6.2,30293,402,389,19,4.9,1.1,515|522|1353|1740|2821|2977|3251|3939|4700|4706|4714|4725|4830|5162|6391|7167|9551|10476|139596,ATP5PB|ATP5PF|COX11|DLG2|GPI|GUCY1A2|HPRT1|LDHA|NDUFA6|NDUFAB1|NDUFB8|NDUFS5|NME1|PDHB|SDHC|TPI1|ATP5MF|ATP5PD|UPRT,-3.1,MyList
GO Biological Processes,19,GO:0033365,protein localization to organelle,19_GO:0051179 localization,-5.8,2.8,5.7,30293,746,389,27,6.9,1.3,819|1386|3320|3786|3838|4591|5824|6734|6789|9512|10059|22919|25782|26519|29887|51560|54332|54557|55187|55737|57154|79589|81832|128866|131118|131474|401505,CAMLG|ATF2|HSP90AA1|KCNQ3|KPNA2|TRIM37|PEX19|SRPRA|STK4|PMPCB|DNM1L|MAPRE1|RAB3GAP2|TIMM10|SNX10|RAB6B|GDAP1|SGTB|VPS13D|VPS35|SMURF1|RNF128|NETO1|CHMP4B|DNAJC19|CHCHD4|TOMM5,-3.1,MyList
GO Biological Processes,19,GO:0051656,establishment of organelle localization,19_GO:0051179 localization,-5.8,3.6,6.1,30293,407,389,19,4.9,1.1,1063|1780|3619|4131|5293|7320|7846|9342|10059|10947|22919|23025|29058|51566|81565|81620|81929|113130|128866,CENPF|DYNC1I1|INCENP|MAP1B|PIK3CD|UBE2B|TUBA1A|SNAP29|DNM1L|AP3M2|MAPRE1|UNC13A|TMEM230|ARMCX3|NDEL1|CDT1|SEH1L|CDCA5|CHMP4B,-3.1,MyList
GO Biological Processes,19,GO:0006164,purine nucleotide biosynthetic process,19_GO:0008152 metabolic process,-5.8,4.8,6.5,30293,228,389,14,3.6,0.94,515|522|1353|2977|3251|4700|4706|4714|4725|4830|5162|6391|9551|10476,ATP5PB|ATP5PF|COX11|GUCY1A2|HPRT1|NDUFA6|NDUFAB1|NDUFB8|NDUFS5|NME1|PDHB|SDHC|ATP5MF|ATP5PD,-3.1,MyList
GO Biological Processes,19,GO:0009165,nucleotide biosynthetic process,19_GO:0008152 metabolic process,-5.7,4.4,6.4,30293,265,389,15,3.9,0.98,515|522|1353|2977|3251|4700|4706|4714|4725|4830|5162|6391|9551|10476|139596,ATP5PB|ATP5PF|COX11|GUCY1A2|HPRT1|NDUFA6|NDUFAB1|NDUFB8|NDUFS5|NME1|PDHB|SDHC|ATP5MF|ATP5PD|UPRT,-3,MyList
GO Biological Processes,19,GO:0061024,membrane organization,19_GO:0009987 cellular process,-5.7,2.8,5.6,30293,757,389,27,6.9,1.3,819|1386|1718|2932|3320|4905|4952|5877|7905|9217|9342|10059|10947|23760|26519|27166|51454|57154|63982|80115|80148|84303|91137|94134|128866|401505|440574,CAMLG|ATF2|DHCR24|GSK3B|HSP90AA1|NSF|OCRL|RABIF|REEP5|VAPB|SNAP29|DNM1L|AP3M2|PITPNB|TIMM10|PRELID1|GULP1|SMURF1|ANO3|BAIAP2L2|SLC66A2|CHCHD6|SLC25A46|ARHGAP12|CHMP4B|TOMM5|MICOS10,-3,MyList
GO Biological Processes,19,GO:1901293,nucleoside phosphate biosynthetic process,19_GO:0008152 metabolic process,-5.7,4.4,6.3,30293,267,389,15,3.9,0.98,515|522|1353|2977|3251|4700|4706|4714|4725|4830|5162|6391|9551|10476|139596,ATP5PB|ATP5PF|COX11|GUCY1A2|HPRT1|NDUFA6|NDUFAB1|NDUFB8|NDUFS5|NME1|PDHB|SDHC|ATP5MF|ATP5PD|UPRT,-3,MyList
GO Biological Processes,19,GO:0019693,ribose phosphate metabolic process,19_GO:0008152 metabolic process,-5.6,3.6,6,30293,416,389,19,4.9,1.1,515|522|1353|1740|2821|2977|3251|3939|4700|4706|4714|4725|4830|5162|6391|7167|9551|10476|139596,ATP5PB|ATP5PF|COX11|DLG2|GPI|GUCY1A2|HPRT1|LDHA|NDUFA6|NDUFAB1|NDUFB8|NDUFS5|NME1|PDHB|SDHC|TPI1|ATP5MF|ATP5PD|UPRT,-3,MyList
GO Biological Processes,19,GO:0072522,purine-containing compound biosynthetic process,19_GO:0008152 metabolic process,-5.6,4.6,6.4,30293,236,389,14,3.6,0.94,515|522|1353|2977|3251|4700|4706|4714|4725|4830|5162|6391|9551|10476,ATP5PB|ATP5PF|COX11|GUCY1A2|HPRT1|NDUFA6|NDUFAB1|NDUFB8|NDUFS5|NME1|PDHB|SDHC|ATP5MF|ATP5PD,-3,MyList
GO Biological Processes,19,GO:0009150,purine ribonucleotide metabolic process,19_GO:0008152 metabolic process,-5.6,3.7,6,30293,382,389,18,4.6,1.1,515|522|1353|1740|2821|2977|3251|3939|4700|4706|4714|4725|4830|5162|6391|7167|9551|10476,ATP5PB|ATP5PF|COX11|DLG2|GPI|GUCY1A2|HPRT1|LDHA|NDUFA6|NDUFAB1|NDUFB8|NDUFS5|NME1|PDHB|SDHC|TPI1|ATP5MF|ATP5PD,-3,MyList
GO Biological Processes,19,GO:0090407,organophosphate biosynthetic process,19_GO:0008152 metabolic process,-5.6,3.1,5.8,30293,545,389,22,5.7,1.2,515|522|1353|1607|2224|2977|3251|4700|4706|4714|4725|4830|4952|5162|5293|6391|7167|9551|10476|57515|139596|145567,ATP5PB|ATP5PF|COX11|DGKB|FDPS|GUCY1A2|HPRT1|NDUFA6|NDUFAB1|NDUFB8|NDUFS5|NME1|OCRL|PDHB|PIK3CD|SDHC|TPI1|ATP5MF|ATP5PD|SERINC1|UPRT|TTC7B,-3,MyList
GO Biological Processes,19,GO:0051303,establishment of chromosome localization,19_GO:0051179 localization,-5.5,7.5,7.2,30293,94,389,9,2.3,0.76,1063|3619|7320|22919|81565|81620|81929|113130|128866,CENPF|INCENP|UBE2B|MAPRE1|NDEL1|CDT1|SEH1L|CDCA5|CHMP4B,-2.9,MyList
